node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
403,0.0025012506253126563,4.857798975446034e-07,0.0,4.548545541703348e-42
404,0.003001500750375187,3.228228228228227e-05,0.06075617354652495,4.725228603966859e-50
405,0.015007503751875937,0.0003828874448695618,0.0802164001099906,9.438594411632357e-45
406,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
407,0.01250625312656328,6.949108441001589e-05,0.05578879954458122,4.304509114695384e-85
408,0.0015007503751875936,0.0,0.09379799209097966,6.24690259918363e-10
409,0.0,0.0,0.0,2.5206463634699766e-108
410,0.0,0.0,0.0,2.5206463634699766e-108
411,0.003001500750375187,7.355384776894462e-06,0.0,2.0999631207002683e-95
412,0.0,0.0,0.0,2.5206463634699766e-108
413,0.0015007503751875936,0.0,0.0,6.211867019204463e-98
414,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
415,0.0,0.0,0.0,2.5206463634699766e-108
416,0.0,0.0,0.0,2.5206463634699766e-108
417,0.0,0.0,0.0,2.5206463634699766e-108
418,0.0,0.0,0.0,2.5206463634699766e-108
419,0.0,0.0,0.0,2.5206463634699766e-108
420,0.0,0.0,0.0,2.5206463634699766e-108
421,0.003001500750375187,2.8348662619248513e-05,0.0981688532960067,5.219077138610797e-25
422,0.0,0.0,0.0,2.5206463634699766e-108
423,0.01700850425212606,0.000576886583991904,0.10062846852144511,9.257676075216352e-35
424,0.0,0.0,0.0,2.5206463634699766e-108
425,0.002001000500250125,0.0,0.01354515050167224,4.200022591582534e-95
426,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
427,0.002001000500250125,0.0,0.0,1.5710370715293037e-98
428,0.0,0.0,0.0,2.5206463634699766e-108
429,0.016008004002001,0.00046706842963060156,0.11077355786133473,2.325492176179749e-22
430,0.005502751375687844,1.6841249503775493e-05,0.013935340022296544,1.6038993330424044e-98
431,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
432,0.0,0.0,0.0,2.5206463634699766e-108
433,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
434,0.00850425212606303,6.458043111189615e-06,0.0,8.906663472188476e-59
435,0.003001500750375187,0.0,0.007525083612040134,7.049239620080134e-104
436,0.0025012506253126563,5.5165385826708476e-06,0.0,5.605842015303725e-78
437,0.0,0.0,0.0,2.5206463634699766e-108
